compound,name,class,cas,receptor,organism,param_type,value_M,ec50_M,relation,species,hill_n,direction,efficacy,evidence_tier,source
acetylcholine,Acetylcholine,endogenous transmitter,51-84-3,vertebrate_GABA_A,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
caffeine,Caffeine,methylxanthine,58-08-2,vertebrate_GABA_A,vertebrate,IC50,0.001,0.001,class_extrapolation,mammalian GABA-A (review-level statement),1.0,antagonist,0.5,literature_order,"Fredholm et al. 1999, Pharmacol Rev 51:83 (caffeine antagonises GABA-A only at millimolar concentrations, far above the adenosine-receptor range)."
caffeine,Caffeine,methylxanthine,58-08-2,insect_nAChR,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
caffeine,Caffeine,methylxanthine,58-08-2,insect_RDL,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,"class-order placeholder: fly caffeine targets are adenosine-like receptors and PDEs, not modelled here"
caffeine,Caffeine,methylxanthine,58-08-2,vertebrate_nAChR_a4b2,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
chlordimeform,Chlordimeform,formamidine,6164-98-3,insect_OctR,insect,EC50,3e-05,3e-05,exact_compound_related_receptor,insect octopamine-sensitive adenylate cyclase preparation (octopamine-2 receptor),1.0,partial_agonist,0.1,literature_order,"Nathanson 1985, PNAS 82:599 (octopamine-sensitive adenylate cyclase; formamidines are potent and selective octopamine-2 receptor agonists). Reported Ka order: about 3e-5 M for chlordimeform and about 2e-6 M for its N-demethyl metabolite. TYPING NOTE (v0.6): the source reports an activation constant (Ka) for adenylate-cyclase stimulation, i.e. a functional potency. It is typed EC50 and drives functional_engagement; it is not a binding constant."
chlordimeform,Chlordimeform,formamidine,6164-98-3,insect_nAChR,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
chlordimeform,Chlordimeform,formamidine,6164-98-3,insect_RDL,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
chlordimeform,Chlordimeform,formamidine,6164-98-3,vertebrate_nAChR_a4b2,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,"class-order placeholder: mammalian action is at alpha2-adrenoceptors, which are not in this receptor set"
chlordimeform,Chlordimeform,formamidine,6164-98-3,vertebrate_GABA_A,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
chlorpyrifos_oxon,Chlorpyrifos-oxon,organophosphate (oxon metabolite),5598-15-2,insect_AChE,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,"Placeholder pending source verification: Fournier and Mutero 1994 is a resistance review, not a primary Drosophila chlorpyrifos-oxon 10 nM IC50 assay. The previous number is withheld pending a primary enzyme assay with exposure time."
chlorpyrifos_oxon,Chlorpyrifos-oxon,organophosphate (oxon metabolite),5598-15-2,vertebrate_AChE,vertebrate,IC50,3e-07,3e-07,exact_compound_exact_receptor_other_species,Homo sapiens erythrocyte AChE in donor blood,1.0,inhibitor,1.0,literature_order,"Archives of Toxicology 2020, interspecies AChE inhibition study in electric eel and human donor blood (chlorpyrifos-oxon IC50 about 0.3 uM in human blood)."
chlorpyrifos_oxon,Chlorpyrifos-oxon,organophosphate (oxon metabolite),5598-15-2,insect_nAChR,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,"class-order placeholder: the oxon acts on the enzyme, not directly on the receptor"
chlorpyrifos_oxon,Chlorpyrifos-oxon,organophosphate (oxon metabolite),5598-15-2,vertebrate_nAChR_a4b2,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
chlorpyrifos_oxon,Chlorpyrifos-oxon,organophosphate (oxon metabolite),5598-15-2,insect_RDL,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
chlorpyrifos_oxon,Chlorpyrifos-oxon,organophosphate (oxon metabolite),5598-15-2,vertebrate_GABA_A,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
clothianidin,Clothianidin,neonicotinoid,210880-92-5,insect_nAChR,insect,EC50,3e-08,3e-08,exact_compound_related_receptor,Periplaneta americana native neuronal nAChR,1.2,agonist,1.0,literature_order,"Thany 2009, Neurotoxicology 30:1045 (clothianidin is an agonist at cockroach nAChRs from about 30 nM); Tomizawa and Casida 2005, Annu Rev Pharmacol Toxicol 45:247 for low-nM insect binding."
clothianidin,Clothianidin,neonicotinoid,210880-92-5,vertebrate_nAChR_a7,vertebrate,EC50,0.00074,0.00074,exact_compound_exact_receptor_other_species,Rattus norvegicus alpha7,1.0,partial_agonist,0.3,literature_order,"Cartereau et al. 2018, Br J Pharmacol 175 (rat alpha7; clothianidin partial agonist, EC50 0.74 mM, vs acetylcholine 0.16 mM)."
clothianidin,Clothianidin,neonicotinoid,210880-92-5,vertebrate_nAChR_a4b2,vertebrate,EC50,0.0001,0.0001,class_extrapolation,mammalian (inferred from the alpha7 data),1.0,agonist,0.2,literature_order,"Order-of-magnitude contrast from the mammalian alpha7 data of Cartereau et al. 2018, Br J Pharmacol 175; no direct alpha4beta2 EC50 was located, so this row is a high-micromolar class order, not a measured EC50."
clothianidin,Clothianidin,neonicotinoid,210880-92-5,insect_RDL,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
clothianidin,Clothianidin,neonicotinoid,210880-92-5,vertebrate_GABA_A,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
ddt,DDT,organochlorine,50-29-3,insect_Nav,insect,EC50,6.5e-05,6.5e-05,exact_compound_exact_receptor_exact_species,Drosophila melanogaster para in Xenopus oocytes,1.0,positive_modulator,0.1,literature_order,"Burton et al. 2011, Insect Biochem Mol Biol 41:723 (Drosophila para tail-current EC50 65 uM for DDT, with only about 7 percent maximum channel modification)."
ddt,DDT,organochlorine,50-29-3,vertebrate_Nav1_x,vertebrate,EC50,0.001,0.001,class_extrapolation,mammalian sodium channels (review-level contrast),1.0,positive_modulator,0.1,literature_order,"Vijverberg and van den Bercken 1990, Crit Rev Toxicol 21:105 (DDT and pyrethroids modify mammalian sodium channels only at much higher concentrations than insect channels). Order-of-magnitude contrast."
ddt,DDT,organochlorine,50-29-3,insect_nAChR,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
ddt,DDT,organochlorine,50-29-3,insect_RDL,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
ddt,DDT,organochlorine,50-29-3,vertebrate_GABA_A,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
deltamethrin,Deltamethrin,type II pyrethroid,52918-63-5,insect_Nav,insect,EC50,4.3e-08,4.3e-08,exact_compound_exact_receptor_exact_species,Drosophila melanogaster para in Xenopus oocytes,1.0,positive_modulator,1.0,literature_order,"Burton et al. 2011, Insect Biochem Mol Biol 41:723 (Drosophila para in Xenopus oocytes; tail-current EC50 0.043 uM deltamethrin, 0.40 uM permethrin, 65 uM DDT)."
deltamethrin,Deltamethrin,type II pyrethroid,52918-63-5,vertebrate_Nav1_x,vertebrate,EC50,5e-06,5e-06,exact_compound_exact_receptor_other_species,Rattus norvegicus Nav1.6,1.0,positive_modulator,0.3,literature_order,"Tan and Soderlund 2010, Neurotoxicology 31:16 (modification of rat Nav1.6 by deltamethrin requires micromolar concentrations)."
deltamethrin,Deltamethrin,type II pyrethroid,52918-63-5,insect_nAChR,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
deltamethrin,Deltamethrin,type II pyrethroid,52918-63-5,insect_RDL,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
deltamethrin,Deltamethrin,type II pyrethroid,52918-63-5,vertebrate_GABA_A,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
diazepam,Diazepam,benzodiazepine,439-14-5,insect_nAChR,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
diazepam,Diazepam,benzodiazepine,439-14-5,vertebrate_nAChR_a4b2,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
diazepam,Diazepam,benzodiazepine,439-14-5,vertebrate_GABA_A,vertebrate,EC50,1e-08,1e-08,exact_compound_exact_receptor_other_species,mammalian alpha1beta2gamma2 GABA-A,1.3,positive_modulator,0.6,literature_order,"Sigel and Ernst 2018, Trends Pharmacol Sci 39:659 (benzodiazepine site of alpha1beta2gamma2 GABA-A; diazepam potentiation in the 10 nM order). Value kept unchanged from FlyLab v0.4. TYPING NOTE (v0.6): a genuine benzodiazepine-site Kd exists in the radioligand literature ([3H]flunitrazepam displacement), but the value used here comes from a POTENTIATION measurement, so the row is typed EC50 and, the preparation being a mammalian (non-Drosophila) receptor at evidence distance E1, reports functional_engagement_proxy, not binding occupancy. Upgrading it to Kd would require citing the binding study instead."
diazepam,Diazepam,benzodiazepine,439-14-5,insect_RDL,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,"class-order placeholder: insect RDL lacks the vertebrate benzodiazepine site, so diazepam is modelled as inactive on the insect GABA-Cl channel."
dieldrin,Dieldrin,cyclodiene organochlorine,60-57-1,insect_RDL,insect,IC50,1e-07,1e-07,exact_compound_exact_receptor_exact_species,Drosophila melanogaster,1.0,antagonist,1.0,literature_order,"ffrench-Constant et al. 1993, Nature 363:449 (Rdl A301S confers cyclodiene resistance); Hosie et al. 1995, Br J Pharmacol 115:909 (cyclodiene block of dieldrin-sensitive Drosophila GABA receptors in the 0.1 uM order)."
dieldrin,Dieldrin,cyclodiene organochlorine,60-57-1,vertebrate_GABA_A,vertebrate,IC50,1e-06,1e-06,exact_compound_exact_receptor_other_species,mammalian GABA-A,1.0,antagonist,1.0,literature_order,"Ratra and Casida 2001, Toxicol Lett 122:215 (cyclodienes block mammalian GABA-A at sub-micromolar to micromolar; the insect selectivity margin is small)."
dieldrin,Dieldrin,cyclodiene organochlorine,60-57-1,insect_nAChR,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
dieldrin,Dieldrin,cyclodiene organochlorine,60-57-1,vertebrate_nAChR_a4b2,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
fipronil,Fipronil,phenylpyrazole,120068-37-3,insect_nAChR,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
fipronil,Fipronil,phenylpyrazole,120068-37-3,vertebrate_nAChR_a4b2,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
fipronil,Fipronil,phenylpyrazole,120068-37-3,vertebrate_GABA_A,vertebrate,IC50,1.1e-06,1.1e-06,exact_compound_exact_receptor_other_species,native GABA-related chloride-channel preparations from multiple vertebrate species ([3H]EBOB displacement),1.0,antagonist,1.0,literature_order,"Hainzl, Cole and Casida 1998, Chem Res Toxicol 11:1529-1535 (DOI 10.1021/tx980157t; PMID 9860498): mean fipronil IC50 1103 nM across human, dog, mouse, chicken, quail and salmon preparations by [3H]EBOB displacement. This is a multi-species binding-site proxy, not a human recombinant functional GABA-A potency."
fipronil,Fipronil,phenylpyrazole,120068-37-3,insect_RDL,insect,IC50,3e-08,3e-08,exact_compound_related_receptor,insect GABA-related chloride-channel preparations; Drosophila RDL variant response differs by assay,1.2,antagonist,1.0,literature_order,"The 30 nM model value is an assay-transfer proxy, not a measured constant for the predominant Drosophila RDLbd I/V variant. Hainzl et al. 1998 (DOI 10.1021/tx980157t) reports 3-12 nM insect [3H]EBOB displacement; Lees et al. 2014 (DOI 10.1371/journal.pone.0097468) reports about 0.63 uM functional block on RDLbd I/V. Model sensitivity to this range is unresolved."
gaba,GABA,endogenous transmitter,56-12-2,insect_RDL,insect,EC50,5e-05,5e-05,exact_compound_exact_receptor_exact_species,Drosophila melanogaster RDLbd in Xenopus oocytes,1.5,agonist,1.0,literature_order,"Lees et al. 2014, PLoS ONE 9:e97468 (RDLbd and RDLbd I/V in Xenopus oocytes; GABA pEC50 4.2-4.3, i.e. about 50 uM)."
gaba,GABA,endogenous transmitter,56-12-2,vertebrate_GABA_A,vertebrate,EC50,1e-05,1e-05,exact_compound_exact_receptor_other_species,mammalian alpha1beta2gamma2 GABA-A,1.5,agonist,1.0,literature_order,"Sigel and Steinmann 2012, J Biol Chem 287:40224 (GABA-A receptors; GABA EC50 in the 5-30 uM range for alpha1beta2gamma2)."
gaba,GABA,endogenous transmitter,56-12-2,insect_nAChR,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
gaba,GABA,endogenous transmitter,56-12-2,vertebrate_nAChR_a4b2,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
imidacloprid,Imidacloprid,neonicotinoid,138261-41-3,insect_nAChR,insect,EC50,2e-08,2e-08,exact_compound_related_receptor,Ctenocephalides felis alpha1/alpha2 + Gallus gallus beta2 hybrid,1.2,agonist,1.0,literature_order,"Dederer H, Werr M, Ilg T (2011) Insect Biochem Mol Biol 41(1):51-61. DOI 10.1016/j.ibmb.2010.09.012; PMID 20933086. Imidacloprid EC50 was 0.02 uM on cat-flea Cfalpha1/chicken Gg-beta2 hybrid receptors. The same paper also studied Drosophila alpha subunits with chicken beta2, but the 0.02 uM value is not a Drosophila receptor measurement. This unchanged library value is therefore an E2 related-receptor functional-engagement proxy, not binding occupancy."
imidacloprid,Imidacloprid,neonicotinoid,138261-41-3,vertebrate_nAChR_a4b2,vertebrate,EC50,1e-05,1e-05,class_extrapolation,mammalian (review-level contrast),1.0,agonist,0.3,literature_order,"Tomizawa and Casida 2005, Annu Rev Pharmacol Toxicol 45:247 (imidacloprid selectivity for insect over vertebrate nAChR is >1000-fold; vertebrate potency in the micromolar order). Order-of-magnitude selectivity contrast, kept from FlyLab v0.4."
imidacloprid,Imidacloprid,neonicotinoid,138261-41-3,vertebrate_GABA_A,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder: no neonicotinoid action at GABA-A assumed
imidacloprid,Imidacloprid,neonicotinoid,138261-41-3,insect_RDL,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder: no neonicotinoid action at RDL assumed
imidacloprid,Imidacloprid,neonicotinoid,138261-41-3,insect_nAChR_native_dmel,insect,Kd,2e-09,2e-09,exact_compound_exact_receptor_exact_species,Drosophila melanogaster (native head membranes; nAChR population not resolved to subunits),1.0,agonist,1.0,literature_order,"Tomizawa, Latli and Casida 1996, J Neurochem 67(4):1669-1676, doi:10.1046/j.1471-4159.1996.67041669.x, PMID 8858952 (""Head membranes of Drosophila melanogaster and Musca domestica have a single high-affinity binding site for [3H]IMI with KD values of 1-2 nM and Bmax values of 560-850 fmol/mg of protein""). This is a radioligand saturation Kd measured on the MODELLED organism, which is why it is the library's only binding_occupancy row. Two honest limits are recorded rather than smoothed over: (a) the publication states the 1-2 nM range for Drosophila and Musca jointly and does not resolve the Drosophila-only value, so FlyLab takes the conservative (weakest-affinity) end, 2.0e-9 M, and the tier stays literature_order; (b) the preparation is native head membranes and resolves NO subunit - the companion photoaffinity study (Tomizawa and Casida 1997, Neurosci Lett 237:61, PMID 9453215, doi:10.1016/s0304-3940(97)00811-2) labels a single 66 kDa ligand-binding polypeptide of the Drosophila nAChR without assigning it to a named Dalpha/Dbeta subunit - so the row sits on the preparation-resolved key insect_nAChR_native_dmel and makes no subunit claim. It does not replace the Dederer hybrid-receptor EC50 on the aggregate insect_nAChR key, which is a functional potency and stays where it was."
imidacloprid,Imidacloprid,neonicotinoid,138261-41-3,insect_nAChR_beta1,insect,Kd,8.3e-11,8.3e-11,exact_compound_exact_receptor_other_species,"Myzus persicae (native beta1-containing nAChR, susceptible clone 4106A)",1.0,agonist,1.0,literature_order,"Bass et al. 2011, BMC Neuroscience 12:51, doi:10.1186/1471-2202-12-51 ([3H]-imidacloprid saturation binding on whole-body membranes: the susceptible 4106A clone has two sites, Kd 0.083 +/- 0.0085 nM (Bmax 100 fmol/mg) and Kd 1.7 +/- 0.65 nM (Bmax 298 fmol/mg); the R81T mutation in the nAChR beta1 subunit abolishes the high-affinity site, leaving a single Kd 4.14 +/- 0.39 nM site in the resistant FRC clone). FlyLab uses the high-affinity Kd = 8.3e-11 M. This is a genuine equilibrium dissociation constant from a radioligand binding assay, but it was measured in an APHID, not in Drosophila. Under the v0.6.1 rule a binding constant licenses physical binding_occupancy only with relation exact_compound_exact_receptor_exact_species, so this row sits at evidence distance E1 and drives binding_engagement_proxy: the same Hill number, reported as an engagement proxy derived from a binding constant measured in another species, and carrying a provenance warning that names the gap. The transfer of an aphid beta1 affinity to the Drosophila Dbeta1 receptor is an assumption, not a measurement."
ivermectin,Ivermectin,avermectin,70288-86-7,insect_GluCl,insect,EC50,2e-08,2e-08,exact_compound_related_receptor,invertebrate GluCl (Drosophila genetics plus heterologous invertebrate GluCl),1.0,agonist,1.0,literature_order,"Kane et al. 2000, PNAS 97:13949 (drug-resistant Drosophila show GluCl is the avermectin target); invertebrate GluCl activation is reported in the 0.1-30 nM order."
ivermectin,Ivermectin,avermectin,70288-86-7,insect_RDL,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,"Placeholder pending source verification: Lees et al. 2014 (DOI 10.1371/journal.pone.0097468) reports ivermectin inhibition of GABA-evoked RDLbd I/V currents (pIC50 6.33), with no current from 10 uM ivermectin alone. The former positive-modulator EC50 contradicted that assay; an inhibitory model mapping has not yet been validated."
ivermectin,Ivermectin,avermectin,70288-86-7,vertebrate_GlyR,vertebrate,EC50,1e-06,1e-06,exact_compound_exact_receptor_other_species,rat/human alpha1 glycine receptor,1.0,positive_modulator,0.8,literature_order,"Shan et al. 2001, J Biol Chem 276:12556 (ivermectin is an unconventional agonist of the alpha1 glycine receptor, sub-micromolar to micromolar)."
ivermectin,Ivermectin,avermectin,70288-86-7,vertebrate_GABA_A,vertebrate,EC50,1e-05,1e-05,exact_compound_exact_receptor_other_species,Mus musculus GABA-A,1.0,positive_modulator,0.5,literature_order,"Dawson et al. 2000, J Pharmacol Exp Ther 295:1051 (avermectin effects in mice are mediated through GABA-A; micromolar potentiation)."
ivermectin,Ivermectin,avermectin,70288-86-7,insect_nAChR,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
nicotine,Nicotine,alkaloid,54-11-5,insect_nAChR,insect,EC50,2e-07,2e-07,exact_compound_related_receptor,Drosophila melanogaster Dalpha1 + Gallus gallus beta2 hybrid,1.1,agonist,1.0,literature_order,"Ihara et al. 2018, Br J Pharmacol 175:1999 (Drosophila Dalpha1/chicken beta2 hybrid nAChR; nicotine active in the sub-micromolar order). Value kept unchanged from FlyLab v0.4."
nicotine,Nicotine,alkaloid,54-11-5,vertebrate_nAChR_a4b2,vertebrate,EC50,1e-06,1e-06,exact_compound_exact_receptor_other_species,Homo sapiens alpha4beta2 in Xenopus oocytes,1.2,agonist,1.0,literature_order,"Chavez-Noriega et al. 1997, J Pharmacol Exp Ther 280:346 (human alpha4beta2 expressed in oocytes; nicotine EC50 in the low-micromolar order). Value kept unchanged from FlyLab v0.4."
nicotine,Nicotine,alkaloid,54-11-5,vertebrate_GABA_A,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
nicotine,Nicotine,alkaloid,54-11-5,insect_RDL,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
nitenpyram,Nitenpyram,neonicotinoid,150824-47-8,insect_nAChR,insect,EC50,5e-08,5e-08,class_extrapolation,insect (review-level class statement),1.2,agonist,1.0,literature_order,"Tomizawa and Casida 2005, Annu Rev Pharmacol Toxicol 45:247 (nitrocontaining neonicotinoids bind insect nAChR with low-nM to tens-of-nM affinity). Class-order value kept unchanged from FlyLab v0.4. TYPING NOTE (v0.6): the cited review mixes [3H]imidacloprid displacement affinities with functional potencies, so this row is typed as the weaker claim (EC50 / class_extrapolation) and drives functional_engagement only."
nitenpyram,Nitenpyram,neonicotinoid,150824-47-8,vertebrate_nAChR_a4b2,vertebrate,EC50,2e-05,2e-05,class_extrapolation,mammalian (review-level contrast),1.0,agonist,0.3,literature_order,"Tomizawa and Casida 2005, Annu Rev Pharmacol Toxicol 45:247 (vertebrate nAChR potency of nitro-neonicotinoids is micromolar or weaker). Order-of-magnitude selectivity contrast, kept from FlyLab v0.4."
nitenpyram,Nitenpyram,neonicotinoid,150824-47-8,vertebrate_GABA_A,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
nitenpyram,Nitenpyram,neonicotinoid,150824-47-8,insect_RDL,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
permethrin,Permethrin,type I pyrethroid,52645-53-1,insect_Nav,insect,EC50,4e-07,4e-07,exact_compound_exact_receptor_exact_species,Drosophila melanogaster para in Xenopus oocytes,1.0,positive_modulator,1.0,literature_order,"Burton et al. 2011, Insect Biochem Mol Biol 41:723 (Drosophila para tail-current EC50 0.40 uM for permethrin)."
permethrin,Permethrin,type I pyrethroid,52645-53-1,vertebrate_Nav1_x,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,"Placeholder pending source verification: Smith and Soderlund 1998 (PMID 9863771) studied cypermethrin, not permethrin. It cannot support the former 40 uM permethrin parameter; a matched mammalian permethrin assay is required."
permethrin,Permethrin,type I pyrethroid,52645-53-1,insect_nAChR,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
permethrin,Permethrin,type I pyrethroid,52645-53-1,insect_RDL,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
permethrin,Permethrin,type I pyrethroid,52645-53-1,vertebrate_GABA_A,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
picrotoxin,Picrotoxin,plant convulsant,124-87-8,insect_RDL,insect,IC50,1e-06,1e-06,exact_compound_exact_receptor_exact_species,Drosophila melanogaster,1.0,antagonist,1.0,literature_order,"Hosie et al. 1995, Br J Pharmacol 115:909 (picrotoxinin block of Drosophila GABA receptors, micromolar order); RDL oocyte IC50 varies up to about 17-fold with expression conditions (PLoS ONE 2021, RDL expression-condition study)."
picrotoxin,Picrotoxin,plant convulsant,124-87-8,vertebrate_GABA_A,vertebrate,IC50,1e-06,1e-06,exact_compound_exact_receptor_other_species,mammalian GABA-A,1.0,antagonist,1.0,literature_order,"Ratra and Casida 2001, Toxicol Lett 122:215 (picrotoxinin blocks mammalian GABA-A at about 1 uM, i.e. no useful insect selectivity)."
picrotoxin,Picrotoxin,plant convulsant,124-87-8,vertebrate_GlyR,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,Placeholder pending source verification: The previously cited Ratra and Casida GABA-receptor paper does not assay GlyR. A direct glycine-receptor picrotoxin preparation and potency are required before this row can be quantified.
picrotoxin,Picrotoxin,plant convulsant,124-87-8,insect_nAChR,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
picrotoxin,Picrotoxin,plant convulsant,124-87-8,vertebrate_nAChR_a4b2,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
spinosad,Spinosad (spinosyn A),spinosyn,131929-60-7,insect_nAChR,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,Placeholder pending source verification: Perry et al. 2015 (DOI 10.1016/j.ibmb.2015.01.017; PMID 25747008) supports Dalpha6 target involvement but not a 5 uM receptor EC50. Martelli et al. 2022 (PMID 35191376) reports low-dose antagonism of Dalpha6-mediated cholinergic response. No quantitative receptor potency or direction is admitted pending an assay-matched source.
spinosad,Spinosad (spinosyn A),spinosyn,131929-60-7,vertebrate_nAChR_a4b2,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder: no mammalian nAChR potency is reported for spinosyns at insecticidal concentrations.
spinosad,Spinosad (spinosyn A),spinosyn,131929-60-7,vertebrate_nAChR_a7,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
spinosad,Spinosad (spinosyn A),spinosyn,131929-60-7,insect_RDL,insect,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
spinosad,Spinosad (spinosyn A),spinosyn,131929-60-7,vertebrate_GABA_A,vertebrate,unknown,,,unsupported,,1.0,none,0.0,class_placeholder,class-order placeholder
